epoch,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,2371.7835806710377,2297.294863455636,74.48871580873217,1600.1728564502002,1493.1817431445118,106.99112197371933
2,1444.092027936663,1335.0395560128347,109.05247181483678,1331.2650438524463,1218.9412389684605,112.32380135567696
3,1269.1874790736608,1143.482451084682,125.70503104073661,1203.0436497288304,1065.6751234877456,137.36853374064984
4,1144.3273550851004,1008.6072875976563,135.72006917681014,1153.7270576240303,1003.812164398285,149.91489067497673
5,1056.0306213378906,915.8653446742467,140.16527753557477,1011.7020442072933,865.8666796679491,145.83537567413606
6,1000.8051321847098,860.5129987444196,140.29213311331614,989.6842368491539,843.4486137749077,146.23562171485452
7,970.5472512381417,832.0394396100726,138.5078131539481,974.4432353496074,840.1137083739012,134.32953088586635
8,936.7829916817801,799.5775137765067,137.2054797581264,916.523097316066,778.4405314738567,138.08256193204923
9,909.8367497035435,774.2013275146485,135.6354254586356,904.658683891411,767.0616481349514,137.5970420035514
10,892.8198582240514,759.3252995082311,133.4945605141776,882.5136185990679,750.7681055689478,131.74551428259315
11,870.5236759730748,738.3476928710937,132.17598539079938,864.004702089785,732.5443954696884,131.4603065131782
12,853.8772888183594,722.8849857875279,130.99230466570174,862.7038685413929,728.508918036689,134.194949313327
13,839.7416390555245,709.8090942382812,129.93254530770437,881.3558205422219,747.5107881318819,133.8450298595715
14,827.4172332763671,697.7426805768695,129.6745546068464,834.7260255250368,707.6159641086399,127.11005544423818
15,816.5230904715402,687.6164241245815,128.9066687447684,831.8143152918543,699.6775598230066,132.13676014271107
16,801.5295148577009,673.443015398298,128.08650093078614,806.8546261104855,680.007984791432,126.84664055535028
17,792.6863359723773,664.9519744873047,127.7343626839774,808.4867189577272,685.922753564111,122.56395944436869
18,779.1640808105469,651.867094203404,127.29698600769044,788.5219578098606,660.2370811974083,128.28487846061392
19,770.779430280413,643.2044416155134,127.57498948233469,774.3800961606138,644.1213210280594,130.25877523947287
20,761.8199545724051,634.0582039969308,127.76175101143973,761.5411350070774,632.214661072205,129.3264786087357
21,758.0095153808594,629.891646030971,128.11787120274136,768.9923054157673,637.0985036550222,131.89379872120657
22,751.4871682303292,623.5022033691406,127.98496366228376,747.3613367395716,620.5560165267807,126.80532558926113
23,742.8933663504464,615.580513218471,127.31285487583705,755.8354145160786,626.6023963416542,129.23302159581456
24,735.4132332938058,608.0358010428292,127.37743274143764,737.8029694733797,610.925433551227,126.87753983231278
25,732.4737300327846,605.3833491734096,127.09038036891393,743.8830626280577,617.1737984322212,126.70927027491359
26,726.7516126360212,600.0538186209542,126.69779510498047,730.4678534124945,605.8979654092569,124.56988536846173
27,722.6763201032367,595.7870888846261,126.88923181806292,733.7904672861338,604.832555578039,128.95791062363634
28,720.942331804548,594.0238819667271,126.91844891139439,735.8471277063196,603.0657448219704,132.78138326620078
29,712.4519893101284,585.4042519705636,127.04773897443499,725.6134511586782,598.2733113973349,127.34014573350206
30,710.8363865443638,583.1365042550224,127.69988218035017,716.1828951143526,589.5300800067646,126.65281597820966
31,703.699815586635,576.1451400756836,127.55467393057687,728.0839581036114,596.6849393338651,131.39901996112323
32,701.9080705915179,573.8983540126255,128.009718976702,709.8373303723646,581.5472460375414,128.29007955404134
33,697.6968619210379,569.3501386369977,128.346722139631,710.5703862431768,584.6382482946814,125.93214147680395
34,695.4500017438617,567.4038800920758,128.04612094334195,709.0803556241789,579.1100471198738,129.9703056786034
35,688.4703931535993,559.9333572387695,128.5370365687779,707.8624967130216,580.8724268702296,126.99007141602051
36,685.3760868617467,556.7525809151786,128.62350632803782,704.1523100248686,571.6596280728971,132.49267733920445
37,680.9490230015346,551.9694200788225,128.97960248674664,707.7503492261793,578.8642857945837,128.88606120158244
38,677.0801012311663,547.3821138654437,129.69798534938266,694.935861887278,567.3981708148578,127.53769009488003
39,671.4075801304408,541.3522877284458,130.05529398236956,686.8888701934357,558.8047370490608,128.0841270652977
40,669.4627171107701,539.2391409737724,130.22357613699776,688.5258235530453,558.1939452269653,130.33188506194182
41,666.7756160191127,536.098167855399,130.67744936261857,683.6983076826826,554.5955539890476,129.10274967655644
42,663.4029898507255,532.5098772321429,130.89311289106095,684.8141437946736,553.7830044399868,131.03115695040745
43,658.0747702462332,526.9007904052735,131.17398103986469,682.0045354192083,548.7964516640665,133.2080818000618
44,656.877878679548,525.6591772896903,131.21869953700474,675.2620453094696,544.3282892267267,130.93376379614477
45,653.039737374442,521.6346330915179,131.4051030295236,674.283400588088,542.8945525725921,131.388845846579
46,653.7177403041295,522.0269799368722,131.6907604762486,677.0554257260189,544.0174784159159,133.03794682133307
47,649.2219116210938,517.3239096505301,131.89800109863282,667.1583936842115,535.7901451255943,131.36824796292876
48,646.0131007603237,514.0865199497767,131.92657923017228,668.1619670207317,535.1165767207638,133.04538324335078
49,644.6823464529855,512.3854232788086,132.29692186628068,668.9063763470501,534.1785803137121,134.72780385365834
50,642.1677145821708,509.70513937813894,132.46257602146693,667.8183548538773,539.2330211681408,128.58534356805535
51,638.8652818952288,506.11119537353517,132.75408379690987,666.5337171277723,535.546984851062,130.9867260296185
52,638.9126722063337,506.05106964111326,132.86159956795828,669.3451806298486,537.113747292214,132.23142806808272
