epoch,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,1799039.6467663096,2692.3900950150132,3592694.4979916094,2114.5223735698587,2029.0135430840996,171.01767748278064
2,2059.7019824913814,1971.9297939314113,175.54438347324358,1970.8678286440738,1881.5570934704235,178.62143103186193
3,1932.9329173675212,1839.94569782515,185.97443083087745,1866.1596613703548,1767.7723469318928,196.77463190882534
4,1857.9791259765625,1760.7515260961131,194.455191724241,1867.1176502430164,1765.2855934547829,203.66409591965012
5,1797.7012357338467,1699.6411827874776,196.12010676156584,1756.468003037217,1656.2557034573636,200.4246043681621
6,1757.1147930104537,1658.044854540842,198.1398750929646,1692.8726820081802,1594.0309689572384,197.68342300124831
7,1725.7111043149466,1627.5530727834464,196.31606431194047,1662.5755921937562,1563.9245406294967,197.30212018964767
8,1694.2902015333075,1597.9692743376056,192.64184928703986,1640.2146772016156,1543.1412951036975,194.1467855489767
9,1660.384567097837,1564.1373821000611,192.49436711755936,1651.4230629555336,1554.6301792515171,193.58575769372888
10,1642.7048861140458,1547.799486696508,189.81080171306786,1592.984872690073,1501.2019084514202,183.56591827423125
11,1615.5399126480484,1523.4140924745607,184.25164474541606,1590.0622121144581,1497.3659165757554,185.3925855481947
12,1593.530075344751,1502.0641768377448,182.9318030958074,1590.4332857026948,1499.5380190981998,181.79053620270662
13,1572.6539293608207,1482.61709670749,180.07366878197286,1548.9201381557339,1457.8507656826748,182.1387638401341
14,1553.2693566156026,1464.7220676191337,177.09457174823802,1577.0099900926316,1488.4345037175847,177.15097406366328
15,1536.701171875,1449.8022899695563,173.79776543993967,1518.096793937492,1429.4430892073715,177.3074192814641
16,1511.0563804110598,1424.856569989296,172.39961090630908,1479.8020228480434,1391.5934962061672,176.41704964852548
17,1498.78003537867,1413.4048116554993,170.75044418823677,1478.2578718855575,1392.9366887639592,170.6423773168921
18,1481.798798584853,1397.1004595230484,169.39668225054214,1479.5293624923752,1392.7610963013794,173.53652628764019
19,1463.1316469674432,1378.781052341665,168.70118789401343,1445.5881462517204,1359.316391953477,172.54350192172151
20,1444.984886305188,1361.541537790536,166.886698875563,1421.5444136763717,1335.8024428236831,171.4839276837873
21,1432.7674990616658,1349.7808629371941,165.97327127151217,1405.3545196808136,1321.211947176669,168.28514360307574
22,1404.1690482686,1321.5337626501334,165.270576015486,1387.3335844389312,1302.933104246825,168.80094778311025
23,1385.9935172410198,1303.554131884592,164.87876864938974,1376.1757145328922,1293.9208494383056,164.50970081715016
24,1368.464525759008,1286.754156906834,163.42073276288994,1350.9633225755051,1270.1037444915619,161.71912939245397
25,1351.6979567775522,1270.9792072119662,161.43749961988783,1334.1612887301364,1254.3758160015484,159.570958058278
26,1331.6500708963524,1251.4083597312194,160.48342618568935,1314.915381201514,1234.9610269449136,159.90870715380908
27,1318.6114793010454,1238.9096870829626,159.40357857157753,1306.263929334608,1229.3825747133853,153.76271782646904
28,1301.7916198947676,1223.520836229426,156.54157270655514,1280.2341292708725,1204.0265949543293,152.41508209717287
29,1283.1472589350255,1205.8742425993244,154.54602957620315,1276.1832089658017,1199.243775513795,153.87885670093922
30,1274.5089678238296,1197.6234914976508,153.77094863402885,1280.7769600655342,1201.1208076973458,159.3123164210353
31,1256.4213263352146,1180.8676731747664,151.1073124026913,1262.1328849601555,1188.5835262752987,147.09871461274506
32,1247.7157421179938,1172.8157459408362,149.79999159409059,1247.6016659970517,1170.52844519324,154.1464554611985
33,1237.7245598518127,1163.730008271241,147.98910136918582,1270.415744602024,1194.7876222169434,151.25622402034602
34,1228.5933373067726,1155.2682749249332,146.65012704435193,1217.8899858110062,1146.739615714347,142.3007556201221
35,1208.1088395848392,1135.6188497848782,144.9799801700904,1202.43249866077,1131.066041627565,142.73289976988707
36,1201.9015279206517,1129.2339922813335,145.3350681562865,1232.606895103111,1159.230069058316,146.75363736539273
37,1181.6971444235153,1110.320527100478,142.75323676384215,1187.9449800141938,1114.0378841976742,147.81422031772985
38,1169.032697467193,1097.496660877377,143.07207562321022,1182.78680108331,1110.964448823824,143.6446823104843
39,1164.784923404137,1092.7970135780415,143.9758174801212,1173.809996886535,1101.5274317286037,144.56512249554243
40,1149.401849386955,1077.744056348699,143.3155937873596,1142.5319231585102,1070.640125599232,143.78359517201528
41,1135.3073875997413,1064.4311838387594,141.75240611011873,1128.5607731755192,1058.0736505548518,140.97423280061068
42,1130.6292086020908,1059.3144659402108,142.629482608673,1127.618628638404,1056.8925417116336,141.45217169226112
43,1111.5442496194535,1039.6478566885844,143.7927814904481,1103.7434419282563,1032.344564657431,142.79773971053572
44,1092.3709351889179,1020.3302167030416,144.08143911667142,1100.8326386689423,1026.2764703179741,149.11231351590848
45,1077.4751608634758,1004.5649720324316,145.82037600588544,1069.940235890187,996.5913660242273,146.6977322781766
46,1064.2603310147215,990.2991107112572,147.92245407376,1060.823036537514,988.411454117692,144.82317000227766
47,1048.8799479745885,974.3044815878003,149.1509331536887,1050.7499749505364,976.0552635154686,149.38942265629888
48,1034.2778187816252,959.7365170950567,149.082600495145,1040.4562345548675,964.9448684524368,151.02272157411318
49,1028.5856290661143,953.1156913784475,150.9398741263936,1028.0920307514546,951.2226867981262,153.73868023907696
50,1014.1329912613295,939.4139221843027,149.43813823550622,1028.3249103595783,952.5375085779139,151.57479508622393
51,1001.7617078896519,927.4179993761816,148.687416945488,1024.3890693061226,948.5359222748139,151.7063064498825
52,999.6948087970558,924.6775245530749,150.03457125735028,1009.5846384714793,936.2739396500994,146.6214002393507
53,989.4628947519323,914.0122780579264,150.90123566868468,1011.5134923131139,936.0486701911873,150.92965087279663
54,980.0472429485932,904.3946559267961,151.30517089409335,1003.1370911927553,928.1575121263842,149.95916827472004
55,967.538472131478,891.736719966359,151.60350720823024,979.7690940452171,901.4922632593531,156.5536522850976
56,952.5566751609069,876.4544903629616,152.20436856415773,991.4358743509134,912.4553705316645,157.96102984698567
57,946.6521124245858,870.0806046346753,153.14301574272616,964.361027103764,890.141542299135,148.43898053021283
58,933.9223522036949,858.101051412019,151.64260701352592,960.6190450704611,886.1637371013592,148.91060756801724
59,932.0703487735626,855.9497233217721,152.24125166380531,1010.8328322218703,934.6493536994026,152.36693173581295
60,916.8083239789535,840.833887500695,151.94887344523258,956.2203144917378,879.5194198104355,153.40179310475025
61,903.5962404950234,827.0445997570757,153.10328299634398,932.9431169450701,854.5709666575756,156.74432273765464
62,887.8959430952514,810.8295088255533,154.13287234051796,925.6422351306385,851.0002289276581,149.28400681565356
63,879.2329340490157,802.1399410152775,154.18598432982094,909.6356963653107,834.3189915990209,150.6334063250262
64,863.3775741197036,786.4764929937722,153.80216105722448,910.1148012025698,832.7152024460985,154.7991930529162
65,858.4910058941281,781.5463854155082,153.88924188036935,905.7044411965677,828.5907073455292,154.22746460144225
66,845.4047421492716,768.4443257287728,153.9208351759724,890.7716890474459,815.149157091662,151.2450658666479
67,830.310297086994,753.4297585266764,153.76108043304117,881.00195116992,804.4479503307018,153.10800699381022
68,818.6720880800294,741.4392446063167,154.46568580708893,871.244728370949,794.6390363752424,153.21139017740884
69,803.4782964631756,725.152082884439,156.65242753758548,856.0619434742359,777.0243790543473,158.07511933931002
70,785.9995362631366,708.2012246562917,155.59662147603424,846.2829815899885,767.7906733026972,156.98460805165516
71,777.2765531166592,699.1492224859597,156.2546622931321,830.645653465966,754.0244768083513,153.24235582017565
72,770.9560323151829,692.6170189473977,156.6780279302088,834.8143022783526,759.868389079998,149.8918332394895
73,758.9306833939196,680.4742714009675,156.91281980467014,846.7614944045608,767.1772613678131,159.16846688302073
74,749.4965355489602,670.82895929194,157.3351527312472,808.6970037664618,729.569616613684,158.25476984552913
75,738.359635865561,659.8887105378392,156.94185212159073,794.9741159005686,716.9469487798345,156.05433608962966
76,729.1933400435804,650.3459466140041,157.69478322093596,816.9658194571525,736.661651336395,160.60834422984996
77,723.1574272617327,643.3658162724505,159.5832204038138,797.1613170787975,716.2336816186304,161.85527147020068
78,712.4347301768238,632.1663608754657,160.53673615913797,774.2122521691614,692.630725818592,163.16305008927384
79,701.0894642894378,620.472252896672,161.23442072206544,767.7437460043051,688.7304096699238,158.0266728367772
80,697.611418700303,616.4718835362336,162.2790708711563,779.1471087176043,693.9976138858585,170.29898543257613
