epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.04000000000000001,1181.0678998674666,1170.6885846819196,259.4829088330269,474.74851019843084,464.24753513278904,262.52435684585953
2,0.08000000000000002,402.88263528006416,386.9399015154157,199.28419723510743,352.0756586970271,336.5667469838002,193.86142897963882
3,0.12,337.7005528041295,316.8781012398856,173.5204224722726,318.4631570963053,296.17334268472575,185.7484754193891
4,0.16000000000000003,306.0195826939174,279.2952961512974,167.02679094587054,290.6606404378011,264.01688566007414,166.52346693311964
5,0.2,288.87114584786553,258.11752232142857,153.76811915806363,285.13892456910037,254.6825532808199,152.28185899217087
6,0.24,278.67718952723914,243.8405221121652,145.15278363909042,272.93976737357474,236.45036946736775,152.03917418394957
7,0.27999999999999997,276.77413014003207,238.65480837140765,136.1404347555978,271.00935359187315,232.5432512132494,137.37893546928277
8,0.32000000000000006,267.5954492841448,227.30835832868303,125.89716066632953,266.2470299278771,226.60520127060656,123.8807132556751
9,0.36000000000000004,266.77453645978653,224.17941404070174,118.31978231157575,260.7978996147026,218.17599365112181,118.39418387198234
10,0.4,264.31909691946845,219.8700331551688,111.12265913827079,264.27817035174826,219.24625428040346,112.57978920082192
11,0.44000000000000006,260.6457312447684,214.76771796090262,104.26821250915528,261.6644022562602,216.69168979770785,102.21070980954099
12,0.48,259.1546186174665,211.49736731392997,99.28594529288155,253.91842825491509,206.84941409610295,98.06045001452868
13,0.52,256.7017580304827,207.53556812831334,94.55036997113909,255.86786933417793,204.92434509094056,97.96832487700102
14,0.5599999999999999,254.48153784615653,203.49157660348075,91.05350129263742,262.5846819109148,211.47557998061538,91.26626079051464
15,0.6000000000000001,255.29345921107702,202.4797272818429,88.02288240705218,255.64551780173727,202.1946597323642,89.0847592129483
16,0.6400000000000001,254.34669897896902,199.76549181256976,85.28313882010323,255.84857315200944,200.96751700125418,85.75164990429883
17,0.68,256.00404009137833,199.35542537144252,83.3067862374442,257.4303222595154,200.8215942535553,83.24812744568298
18,0.7200000000000001,256.9738760811942,198.45769609723772,81.27246780395508,264.3608322678147,207.69474977296633,78.70289255167032
19,0.76,256.7834542410714,196.58063910348073,79.21423225402832,263.17679611985034,202.49508935815697,79.84434893420031
20,0.8,257.702645111084,195.87106279645647,77.2894788469587,261.5113491787686,197.3525612709878,80.19848575534763
21,0.8,256.80477055140904,195.07395466395786,77.16351934160505,261.52780786768216,199.84071974806838,77.1088570794305
22,0.8,254.41002840314593,192.6339072091239,77.22015130179268,268.00286874398813,205.82411427540822,77.72344479641995
