epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.04000000000000001,2109.998121166661,2090.409080263716,489.7257707453421,1053.7335570126488,1040.308136470734,335.63554844447543
2,0.08000000000000002,925.6199984313137,905.6757969920991,249.3025397391341,854.008756859189,836.7027484421503,216.32503220331103
3,0.12,771.2218023101668,747.4085897730487,198.44344878736126,721.3860636005704,697.7072847299727,197.32314609103733
4,0.16000000000000003,672.4695130775417,644.2870983279129,176.14009328988882,648.7166605437748,620.9769943576389,173.37286584278894
5,0.2,629.9865772368142,597.3662235035616,163.1017708756805,613.523062453497,580.516026281932,165.03518247574095
6,0.24,595.7798453628748,558.778981894929,154.1702722747941,581.7034892733135,543.9587137664311,157.2699005514478
7,0.27999999999999997,568.9282845199377,527.4891739927266,147.99683169541856,559.0963578093998,517.9807239738343,146.84155463324652
8,0.32000000000000006,548.7931977008802,503.02861844576324,143.01431716297546,560.8042553323413,514.8888785807292,143.48556290883866
9,0.36000000000000004,537.6927555136011,487.4353043914381,139.60402524093698,548.6124362521701,496.7071654110863,144.1813041372148
10,0.4,527.6227954156798,472.9607669605928,136.65507051631874,538.3427436755952,484.7482841176835,133.9861485169426
11,0.44000000000000006,518.3003553847922,459.77414478975186,133.01411866062907,532.7350022863964,474.4250363110739,132.52264591277591
12,0.48,513.8003646367276,451.21433958856227,130.38755242533273,528.7894981166295,465.1111095610119,132.6633093843006
13,0.52,505.9496600811298,439.68928341412436,127.42380323453187,540.4506264338418,473.59788512214783,128.56297127859932
14,0.5599999999999999,500.9706698456501,430.9996649970836,124.9482225789204,531.2119168139261,461.30362300812254,124.83623952714224
15,0.6000000000000001,497.351291155923,423.81908779230594,122.55366944187907,530.2336136687748,456.25632041325645,123.29548259432353
16,0.6400000000000001,493.7905009688295,417.0389825467071,119.92425015824952,526.3649457852803,449.23259994264635,120.51928384447855
17,0.68,492.23401445069464,412.10766739651086,117.83286230164956,525.7031299603175,446.14970827132936,116.99031343005953
18,0.7200000000000001,488.8955518627598,405.4697399570931,115.86917856483977,537.6095123775422,455.6427310810392,113.84274858262803
19,0.76,487.2827053156374,400.86533517966984,113.70706698042235,522.9688184368799,437.0442552548363,113.05864742702909
20,0.8,488.0594095773826,398.5540572636807,111.88168735417845,529.1968500821553,439.9202564251612,111.59574007548983
21,0.8,478.2291007063508,388.94128072747276,111.60977107259482,526.2193277994792,436.20670119512647,112.51578244648283
22,0.8,475.5098555206713,386.3797802126785,111.41259095895344,527.431017640129,440.64981371682785,108.47650273398747
