epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.025,2117.583542491516,2095.9426264007707,865.6365932927412,1144.4855050998265,1133.4019608754961,443.3420156327505
2,0.05,925.3278032535881,909.3157831942873,320.2403772966894,828.2032300192212,814.5175529358879,273.71363732716395
3,0.075,742.0028468343468,723.4257726885075,247.69432765218468,688.2099455527654,669.92187515501,243.8409261842758
4,0.1,662.3141023799844,641.7945915670956,205.1951186236213,645.3910517423116,625.449622047061,199.41421257866753
5,0.125,617.7254191264848,594.3942434733809,186.64940239401426,606.4245346602182,583.5747925579738,182.79796181330605
6,0.15,577.9455033384297,551.8120476217831,174.2230151422423,580.134906374008,553.5089288814485,177.50651080419146
7,0.175,553.9252080442678,524.632156303026,167.38887113683364,562.7211139400422,533.2491227988592,168.41138225252666
8,0.2,531.7308058242453,499.37711524100325,161.76845878497508,540.7537202380952,508.1157788860987,163.18972924610924
9,0.225,514.0879471032329,478.5393685043128,157.99368272323954,518.415707891555,482.47311159164184,159.74486595517112
10,0.25,501.8548169718609,463.28814531559317,154.26668973206395,512.7497160993304,473.96555082775296,155.1366593327598
11,0.275,490.2648474231565,448.69425156537227,151.16580310666183,500.74788194444443,459.00678854321677,151.78578679160466
12,0.3,481.9387799431296,437.5348331227022,148.01314879542562,502.0963998558408,456.4126360987103,152.27920435345362
13,0.325,474.519171253049,427.2663401608014,145.39332815317007,504.9849100554936,459.0719024755084,141.27078421456474
14,0.35,466.45529078142675,416.5310457669772,142.640697703642,490.257073218936,440.89990280877976,141.02048951164124
15,0.375,461.389367703399,408.85902315027573,140.0809190845058,501.8433689468626,450.39227004278274,137.20292491125682
16,0.4,456.5088583829716,401.2745141767269,138.08585782288426,493.86003274584573,439.09369497147816,136.9158415779235
17,0.425,454.3239810995387,396.6608806627369,135.67787957515114,499.59238684275795,442.9684818328373,133.23271762424045
18,0.45,449.8229776097639,389.6094405920797,133.8078635030203,489.79274522569443,430.175821281312,132.48206216479105
19,0.475,443.64362331752864,381.0635561015271,131.7475117126741,483.47925250341024,420.8709193057106,131.8070171828497
20,0.5,439.87325469832615,374.92930913726667,129.88789122568537,495.68426110646084,430.5375211588542,130.29347978864396
21,0.5,432.7605712338271,367.7443762041325,130.03239043913277,487.99190708705356,423.7709583682106,128.44189733111668
22,0.5,427.3143484538497,362.3398240033318,129.94904848677,485.05732406374005,420.0183264160156,130.07799850221664
23,0.5,421.4117444068598,356.5155757023738,129.79233830654783,479.8447754293775,413.14542420402404,133.39870307074654
24,0.5,415.9151144588695,351.01748049636774,129.79526688933913,477.63794987754216,412.0340970090836,131.20770721919953
25,0.5,406.5586238533124,341.6982323832102,129.72078266402715,462.6307154095362,398.3393710859995,128.58268747481088
26,0.5,398.1715307451481,333.47968993035914,129.38368135340073,458.45640454489086,393.9852917674231,128.94222807384674
27,0.5,395.2594246842742,330.4599820650541,129.5988845479974,461.87504634796625,397.1287016756572,129.49268586658297
28,0.5,390.3658437599424,325.54751200266014,129.63666589659263,457.1233140345982,392.19890047588046,129.84882084922185
29,0.5,387.24549002668977,322.3125892052284,129.86580088343555,454.8991877867684,389.790358421689,130.21765769352987
30,0.5,380.39317301064057,315.52167880373304,129.7429898292231,459.30726744636655,393.5122820172991,131.58997199164497
31,0.5,375.60477692617013,310.873969721039,129.4616155840153,447.23048614986357,383.39944421192956,127.66208201574901
32,0.5,375.2299854399392,310.36054474843576,129.73888228058274,463.403003859747,399.87340665302577,127.05919782366071
33,0.5,370.64442133148333,305.85787508174843,129.5730921197261,447.31951313321554,383.70168028816346,127.23566730802021
34,0.5,360.8312589205228,296.053229698768,129.55605802924384,439.8189301602803,374.06908466641863,131.4996902998667
35,0.5,357.3858164791608,292.37805596951443,130.0155208466819,437.04088593982516,370.83485243055554,132.41206646631633
36,0.5,356.8166896077842,291.8693520386295,129.89467600136322,451.46984150235613,386.7391863335503,129.46131343781002
37,0.5,346.34314627668977,281.37066015183115,129.9449715937964,431.6192380874876,365.7801312934028,131.6782111080109
38,0.5,346.81161043331093,281.8627284123347,129.89776507761684,425.95473586309527,360.8795852322049,130.15030398414248
39,0.5,345.6599651353931,280.63721973540015,130.04549359627978,425.9125121489025,361.74871008494546,128.3276048157707
40,0.5,339.5249829874859,274.5669133803424,129.91613845479975,422.2479828171503,356.57522573319693,131.34551044766866
