epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.025,2039.0978109092196,2021.0900053136488,720.312525133202,1054.4145460534473,1041.1379516214038,531.063876061818
2,0.05,948.2060519257283,928.3917214233951,396.2866013470818,867.0739129154266,846.7811441282242,405.85533896794396
3,0.075,788.3183071775135,764.1258196938631,322.56647225634543,698.63896984282,675.6949626038567,305.92011877635167
4,0.1,691.3557711640095,663.1731741374434,281.8259659849141,669.2904747953869,639.4602178276909,298.3026083325583
5,0.125,637.0333867828231,605.0497332956996,255.86923887503093,617.0091221013145,586.2377219354539,246.17123019748263
6,0.15,605.7718556952153,569.7209210287931,240.3395638444305,627.0644377790179,588.8819370814732,254.54998298766122
7,0.175,579.2265767231246,538.9585942747366,230.10275910666624,575.1875559973338,534.2803752015129,233.75532179090712
8,0.2,559.4540445319128,515.314246268294,220.6989819971145,561.2729989769346,518.2574565197173,215.077725093781
9,0.225,539.8887004593379,492.18160168401795,212.03155993983756,545.6467231290303,499.32387885199654,205.879314226423
10,0.25,532.7051078140466,481.4251213246341,205.11994278161234,544.5986297898065,494.3368961201017,201.04695435539125
11,0.275,520.3911148002245,465.95744344443756,197.94061969739818,544.5916044301836,490.3320427982391,197.30750001937625
12,0.3,506.7599060610948,449.4060390006363,191.17954851383539,528.4097688802084,470.9004609607515,191.69769604879713
13,0.325,500.22206868305466,440.0347332846525,185.19180877823635,527.7269559926835,467.9273291015625,183.99886494954427
14,0.35,491.10063689218924,428.59315773804263,178.59279870771175,519.8084492420015,457.9476198226686,176.74521952311198
15,0.375,484.0395539572875,419.36547934415654,172.464198807246,509.20233561197915,445.3484690832713,170.27698731437562
16,0.4,477.75331771643454,410.71934999491833,167.58491536826568,503.2116012912326,435.9784718734499,168.0828276425316
17,0.425,472.0922130740066,403.0082706779376,162.55044659230504,501.8016320219494,433.5540689910404,160.58249804299976
18,0.45,466.4313162549049,395.2338216790247,158.21665947685415,494.9942273530506,423.5918168519035,158.67202064150857
19,0.475,460.11288410721863,386.98555455272555,153.9522729243628,509.1866346571181,434.2168367125496,157.83115655808223
20,0.5,456.1085242362044,380.9875101633201,150.24203111467318,503.34145926339284,426.9288059779576,152.8253150092231
21,0.5,447.69447347373443,373.2068430352535,148.9752617054935,523.8291615900918,449.62322490389386,148.41186940995473
22,0.5,442.06382247441496,368.1195568240066,147.88853026515218,486.79563081287205,412.8031601678757,147.98493929423984
23,0.5,439.145101141606,365.51939661362593,147.25140857265006,474.5554911489335,400.60804980081224,147.89488404289125
24,0.5,425.30693185383376,352.0802778010994,146.4533074840701,468.78350151909723,396.90899076915923,143.74902222648498
25,0.5,418.0764756698954,345.14229628619023,145.86835821505585,472.16059333922374,398.6259697226873,147.06924785311259
26,0.5,411.7826803216028,339.11490171958957,145.3355565135835,467.2346794394841,394.5110827636719,145.44719248938182
27,0.5,406.54716153382174,333.9422774509068,145.2097676134757,463.1422336929563,389.72187653072297,146.84070812406995
28,0.5,400.42345404301295,328.0928440007689,144.6612201535324,466.5801070731027,396.2910056462364,140.57820298936633
29,0.5,393.397271203779,321.1238952912896,144.54675217020025,453.5180816359747,381.2674244714162,144.50131877596417
30,0.5,386.3722408519072,314.28521079499257,144.17405762823458,448.7053024243552,376.04154812282985,145.32750515407986
31,0.5,382.8437353626096,310.87803159687854,143.93140801477216,443.8034294782366,372.2326312740265,143.14159492613777
32,0.5,378.735457338359,306.7593923715445,143.9521287598761,445.6689562794519,374.042894500248,143.25212727864584
33,0.5,374.72831028726847,302.7311223232908,143.99437523751237,446.8449117218502,375.56036981491815,142.56908443390378
34,0.5,369.721756602844,297.8437381243814,143.75603757832386,436.50096418108257,365.8219858320933,141.35796079605345
35,0.5,367.1007316209612,295.2780314311722,143.64539968913496,432.2554494318886,361.2486216324095,142.013655976795
36,0.5,357.9934109648968,286.4239926575536,143.13883661468643,429.863236859034,357.4851537310888,144.75616625589038
37,0.5,360.31808968798606,288.50547521254595,143.62522846757017,430.1441868567088,359.76840227399555,140.75157102554564
38,0.5,354.56561016928555,282.8029216921707,143.5253745376794,426.91972489614335,356.2323750426277,141.37469984266494
39,0.5,349.44711842256436,277.80992595966046,143.2743820949917,420.3355842323909,349.2385572839162,142.19405155242436
40,0.5,349.68699031501876,277.9721207424526,143.4297405260181,428.8065991792225,357.7039842393663,142.2052259172712
