epoch,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,2707.5404898507254,2667.086771937779,40.4537220085838,1952.3364775908722,1892.8178662060498,59.518605244648946
2,1739.1585396902901,1666.2646266392298,72.89391956329345,1600.325121019457,1510.196607007398,90.12851162930508
3,1528.1984139578683,1439.9848990304129,88.2135139465332,1467.0619929011043,1374.430032082864,92.63196564484406
4,1413.9082894461496,1318.3843035016741,95.52398681640625,1328.8922003057746,1227.9727642681744,100.91944304839508
5,1271.7328901018416,1166.2491943359375,105.48369434901646,1244.699938830432,1136.2287075894253,108.47122703300224
6,1203.7376255580357,1100.1620901925223,103.57553574698312,1173.9285425562282,1068.686192662389,105.24233474196853
7,1141.2065686907088,1034.7624986921037,106.4440707070487,1122.7347214157517,1012.6093797655077,110.12532112190316
8,1092.1839695521764,984.7100180489676,107.4739548274449,1088.3110938086525,980.834503387665,107.47657626956791
9,1064.009661429269,957.0968117850167,106.91284997122628,1056.5358481039634,951.3460214364756,105.18983480856345
10,1024.743716430664,916.779296875,107.9644210270473,1022.744606667214,914.8034212190706,107.94117605459464
11,993.1721902029855,883.29332144601,109.87887022835868,1001.0002254451717,884.7438619649923,116.25635253631317
12,966.570125906808,857.4225925990513,109.14753210885185,975.6270417145661,866.391560444722,109.23547961260822
13,949.0789450509208,841.4888135637556,107.59012952532088,970.8115768967209,862.3067101525354,108.50486196340384
14,932.18515625,825.0352277483258,107.14992931910923,949.1037752840731,845.6946988492399,103.40907711452908
15,914.9583025251117,807.2429164341518,107.71538445608957,932.6587361898031,826.7594469469469,105.89929627656221
16,894.5681235177176,786.0939099993025,108.47421504429408,912.2992341095979,805.7048656322338,106.59436934798568
17,875.8369986397879,766.5778355189732,109.2591625213623,898.9805903926388,791.0156531042761,107.96492927711647
18,859.8366346086774,750.3556226457869,109.4810133252825,880.0867643155851,771.6464325653778,108.4403274581955
19,847.2330086844308,737.8652335030692,109.36777643476213,871.6939951426035,763.1290050426403,108.56498901550476
20,835.4632032121931,726.5739833286831,108.8892199925014,860.5154454381139,755.1728400764046,105.34260389539931
21,824.8202601841518,716.8092607770648,108.0109984261649,862.654918957043,759.285321515363,103.3695977166131
22,816.3796469552176,708.4154235839844,107.96422255379814,848.3058183916338,739.2022444197127,109.10357084837523
23,804.649303327288,697.1993970598493,107.4499078478132,842.9208545092945,733.2888115165947,109.63204866701419
24,794.4723432268415,686.9920362200056,107.48030569893973,832.7242641811733,726.0753206209139,106.64894747041964
25,786.6703970772879,679.0627070835659,107.60768966674804,828.8675706345995,720.7258691797266,108.14170576979568
26,777.8541325160435,670.135396030971,107.71873757498605,821.7045307636738,711.3441015478369,110.36042294583402
27,767.0730691092355,659.2825286865234,107.79054238455636,814.4310284405499,707.6645838954189,106.76644231511786
28,761.4205487932478,653.6092668805803,107.81128065926688,815.8465795507421,708.0688267002354,107.77775227772939
29,753.4066942487444,645.5056379045759,107.90105885096959,812.9818888712932,704.5200038295131,108.46187928345826
30,745.6874324253628,637.8661250523159,107.82130911690848,803.5501111463026,696.5734029317404,106.97670145578928
31,737.417147391183,629.8800524030413,107.53709493364606,804.0718892720846,698.3895653465966,105.68232588056807
32,736.1657653808594,628.6993068150111,107.46645513262068,797.6344616711438,690.108136151288,107.52632171661408
33,725.2884116036552,617.9205017089844,107.3679078238351,795.0014780405405,688.1661589568083,106.8353153644978
34,716.7545567103795,609.4476340157645,107.30692024230957,795.7419164770239,686.8354077954908,108.90650965907314
35,712.4393777029854,605.0661119733538,107.37326600211007,793.3371921726414,688.4652310391447,104.87196189719994
36,705.7876848493304,598.3151441301618,107.47253886631557,790.8587810833294,682.9976622740905,107.86112888248356
37,700.3022051130023,592.6998866489955,107.60231857299804,788.6688607552866,681.1438176457708,107.52504614905433
38,693.9220541817801,586.3617353166852,107.56032022748674,787.3174528288054,680.276404211829,107.04104351543927
39,687.8884408133371,580.4810520717076,107.4073891230992,790.6780668608061,684.2753880589574,106.4026785269156
40,681.6495967320034,574.2679558890206,107.38164324079241,790.2525983014265,684.7933842656132,105.45921618181903
41,674.9636365618024,567.5492501395089,107.4143880026681,791.2053586178953,682.1356036822956,109.06975045266213
42,669.1372436523437,561.5315778459822,107.60567054748535,792.9283078855223,689.469293451166,103.45900788942018
