epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.04000000000000001,2241.743125397695,2212.1983057082507,738.6205608661359,1217.1061297123015,1190.9864600384424,652.9917111545138
2,0.08000000000000002,1054.94560800958,1024.6511186280402,378.6811377063596,966.5799389260912,937.58204093812,362.47367722284224
3,0.12,897.2280372861284,860.7871057846967,303.674419834603,843.1875374348958,807.9904945591518,293.30869165814113
4,0.16000000000000003,786.1622157032134,742.3081264582155,274.0880646856662,745.0096814158607,702.3898115079365,266.37420059446305
5,0.2,740.5210968984198,691.2081737949837,246.56461745042068,719.3777012416294,670.5769295634921,244.00385639493427
6,0.24,695.5676882644584,642.1601493455705,222.5314226797803,692.1880852787078,637.4476957000248,228.08495989118305
7,0.27999999999999997,668.398532228772,610.7495664018312,205.88915994911713,672.576842951699,618.182043922061,194.26713100857205
8,0.32000000000000006,648.571259511542,587.391894034131,191.18551829066212,639.8779866536458,577.5118779451885,194.89409848167782
9,0.36000000000000004,630.0195398114925,565.8887394003199,178.1411059625548,621.8822934880333,559.2893060593378,173.8694032311818
10,0.4,609.9535097148084,542.9281744633325,167.56333805964545,619.5822781032986,554.8192190987724,161.90764527336
11,0.44000000000000006,596.4888928443598,527.0969366703638,157.7089878272147,609.64260749938,540.8408557710194,156.36762925889758
12,0.48,587.0224699132583,515.1869483360878,149.65733848330123,599.7281877015129,528.0951843067957,149.2354284377325
13,0.52,578.4199439691743,504.1351091894089,142.8554550101854,605.0165331256201,529.8728356352307,144.50711573040675
14,0.5599999999999999,574.1294351292951,497.12356815942275,137.51047346710618,596.2364418635293,521.3618098958333,133.70469722687253
15,0.6000000000000001,561.3960828133837,482.54299857713517,131.4218022273137,582.8804141477555,504.54739366319444,130.55503192235554
16,0.6400000000000001,554.5787218188808,473.4302279787366,126.79452417986425,574.9310119822669,494.3663125077505,125.88234496101501
17,0.68,544.7258402966805,461.6718234929564,122.13825823063225,583.5172749643477,501.70106220548115,120.31795900375124
18,0.7200000000000001,538.7504026663249,453.2830256811634,118.70468671289504,565.3628731476315,481.48087022569445,116.50277617439392
19,0.76,535.6127438092124,447.650506481326,115.73978796911456,566.2121217370411,479.0637254309276,114.66894372849238
20,0.8,527.651989138504,437.81191505673786,112.30009425927072,576.6752342587425,486.154200187562,113.15128905765594
21,0.8,521.2144997713253,431.8780534148756,111.6705593609702,558.3772793046255,468.1881699141245,112.73638698032924
22,0.8,512.056301755603,423.140277431022,111.14502981884986,545.6395792255704,454.4282933407738,114.01410716707744
23,0.8,501.9896814682904,413.72089382534114,110.33598110147192,545.9874451264881,457.6042472330729,110.47899183969649
24,0.8,495.4791802453779,407.4274481173554,110.0646627434778,549.279421735491,462.3695225694444,108.63737564329116
25,0.8,488.14411146069006,400.75135326817025,109.24094549671018,542.7872321041046,454.3123697529142,110.59357179187593
26,0.8,479.9472754292898,392.6585864589225,109.11085772622225,538.5940724206349,450.897212921627,109.62106812007843
27,0.8,474.16930089061617,387.0345138618849,108.91848019561077,535.6108802238343,448.33436337425593,109.09563770596944
28,0.8,466.99049384345835,380.0837913271529,108.63337441698998,529.6723015873016,444.3246534753224,106.68456291562035
29,0.8,461.7503601350396,374.8809172341187,108.58679944897129,530.6292197575644,444.7746641322545,107.31818368094308
30,0.8,452.1925058494326,365.54041563008167,108.31510894223037,513.1635229879712,426.45427901010663,108.3865526132735
31,0.8,446.95469976226667,360.389641394982,108.206320404467,517.3604484824529,431.22133791000124,107.67389050680494
32,0.8,441.96662826883306,355.45116469439336,108.14432567061343,507.70142353360615,421.8517471168155,107.31210015675379
33,0.8,435.2928022151619,349.0104723623975,107.85290962322804,512.3526404002356,428.76256469726565,104.48759741889106
34,0.8,432.0653038887956,345.6149923057038,108.06288699327011,499.5226338510665,414.1540550595238,106.71072119818794
35,0.8,426.3567390269284,339.96938175529374,107.98419317185069,501.6500452628968,414.0313899545821,109.52331908210876
36,0.8,420.38218571589545,334.06148822490985,107.90086861865014,495.15023720393106,408.37838652111236,108.46480970110213
37,0.8,421.9630150428185,335.47171213831837,108.11412614503058,482.2184769112723,395.23601308671255,108.72807736835783
38,0.8,413.6891971087564,327.2013729319853,108.10977704492629,488.1581168619792,400.86566956535216,109.11555552164714
39,0.8,411.1543753093184,324.75887647257673,107.99436954135808,488.1755457124256,404.0453038775732,105.16280048673116
40,0.8,407.6812211118672,321.26880421358,108.01551773968865,475.4880499751984,388.52466752309647,108.70422900971913
