epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.025,2032.1789213845093,2020.107558582703,482.8545608903488,1047.9700419301835,1038.4595465184773,380.419553687686
2,0.05,891.2487384226528,877.0029186404129,284.91638376917774,814.1631997147817,800.1334767562624,280.5945747690352
3,0.075,704.148389168994,686.9318958127121,229.55321347335885,662.631607297867,645.5747900390625,227.42425542922248
4,0.1,625.3182298479037,605.3262920120723,199.9193965860082,611.5141451590401,591.9633738296751,195.5077741156684
5,0.125,576.8981352240792,553.5465648530295,186.8125517832208,593.1467052641369,570.6065202985491,180.32145327613466
6,0.15,543.7481736403245,517.0504512182728,177.98480438646686,539.6945786442832,512.8864952256945,178.72056482708643
7,0.175,519.6028942263504,489.6046041773455,171.41879804102004,520.0120729476687,490.72427932012647,167.3588201904297
8,0.2,500.5344558646776,467.4007874916042,165.6683313015899,511.54877205016123,478.50427862258186,165.22246743822853
9,0.225,483.5344431605274,447.11316056057336,161.8723698956934,508.19099202473956,472.3717911783854,159.19643826923672
10,0.25,470.2367374195772,430.6351428830246,158.4063817365137,495.4365602136037,456.14254871186756,157.1760359797402
11,0.275,460.38102411468645,417.7267878605769,155.10631129752457,489.5852834743924,446.88821792844743,155.26205529591394
12,0.3,456.0831940940063,410.4489989129666,152.11397583560168,482.37986533513146,438.3697289264013,146.70045141795325
13,0.325,445.3703577378217,396.7104093111478,149.7229261441468,480.14432252914185,432.2246419658358,147.44518062531003
14,0.35,439.45431159524355,387.96098500247456,147.12379469375264,472.9071564205109,421.50441092354913,146.86497590564545
15,0.375,437.87373427999506,383.5979821390696,144.73533996305855,490.4829607669891,436.73692898220486,143.3227479674324
16,0.4,432.39994128473205,375.3469457842106,142.6324895107908,478.4972610134549,422.3581573195685,140.3477565123543
17,0.425,422.20181605826673,362.4672344777379,140.55195286263168,488.1723970734127,429.6758021569631,137.63904845222595
18,0.45,424.5313450049491,362.05321975638964,138.84028452877544,483.16184186662946,421.3407133169023,137.38028400723897
19,0.475,418.07767179325157,353.10887732872595,136.77641116871553,486.2888191344246,421.52713274274555,136.34039373488653
20,0.5,415.7660692309902,348.07390501272624,135.3843254676232,488.3407244388641,420.0118341936384,136.6577798704117
21,0.5,406.76228629409997,339.1174317787136,135.289707442754,464.71487002418155,396.8363284543961,135.75707979716952
22,0.5,398.74459037953375,331.15211756089155,135.18494529206288,468.39064503503226,399.77485653831843,137.2315737575955
23,0.5,394.8695601381328,327.2230509071868,135.29301794405976,469.3557983398438,403.1544408985925,132.40271512470548
24,0.5,388.7402063430165,321.1318591363829,135.21669558702013,452.40938096788193,384.96785849919394,134.88304442390563
25,0.5,385.3834449457367,317.78880938361675,135.18926932908832,456.4399847315228,387.8085173494854,137.2629354906839
26,0.5,375.9855771992541,308.40665252823635,135.1578479611496,449.78269523499506,381.0560279095362,137.45332448807974
27,0.5,371.1830152969015,303.5899387549491,135.18615294581625,442.7254523577009,375.83634217277404,133.77822557237414
28,0.5,369.78475261705495,302.1711697125327,135.22716646496528,439.79577493334574,372.2539011734251,135.08374466184586
29,0.5,360.8633634127103,293.20722788815044,135.3122718776513,439.83450284443205,371.4835072157118,136.70199832007998
30,0.5,359.22999703938063,291.61835476284114,135.223287591028,444.3675933159722,376.69093854631694,135.35331102159287
31,0.5,355.8820789734163,288.31960893864004,135.12493855057798,437.4687232414125,369.51592525421626,135.90559373643663
32,0.5,352.0345116524675,284.44227344633765,135.18447613608242,432.8595445421007,365.9162040976872,133.88667878650483
33,0.5,344.37527438202596,276.8656015525576,135.01934455422793,429.43337723989333,362.09488761780756,134.67698110429066
34,0.5,341.90120824753427,274.3612238681155,135.07996938023632,432.0125427439856,365.72364211309525,132.5778063577319
35,0.5,341.1123746984145,273.55700510983013,135.11074048901037,430.1488782125806,362.4599740745908,135.37781533861917
36,0.5,339.2150326551895,271.7371383597948,134.95578935027663,431.2077615404886,363.2201613653274,135.97520021468873
37,0.5,333.77645073109625,266.30237486135906,134.9481507728542,421.40364629836307,353.4402018422929,135.92688853430369
38,0.5,329.52254033843855,262.091980739956,134.86111698754772,415.78726101345484,348.438196750217,134.69812914651538
39,0.5,325.43106010057267,257.9492076338686,134.96370507149675,417.40672462100076,349.79814596509175,135.21714962913876
40,0.5,324.73010695789736,257.1995929700756,135.06102714711184,413.1838127015129,346.31742861793157,133.73276978507874
