epoch,d_loss,g_loss,real_logit,fake_logit,mode_collapse
1,0.9863603388940966,1.2046099522629299,1.1034549977882087,-0.6278664929213355,0.0
2,0.6979147816026533,1.8529217798967619,2.3655610479213096,-1.461908450400507,0.0
3,0.9422077858770216,1.0171154914675533,2.0435403086043693,-0.48934073516520094,0.0
4,0.9411507643557884,0.9933283788126868,2.069478946763116,-0.39676565294330185,0.0
5,1.0158332779600814,0.9091428035014385,2.058957310947212,-0.2171183066077631,0.0
6,1.0048792684400403,0.8755770422316886,2.1523203720917574,-0.21004176363223107,0.0
7,1.0362791072677922,0.7404808692030005,2.10753316814835,-0.07941842272349105,0.0
8,1.019606995421487,0.8051805898949906,2.1068566473754675,-0.12486421490541182,0.0
9,0.9679102349925686,0.9782874938603994,2.1967970616108663,-0.3249248585638565,0.0
10,1.0106892223293718,0.8134875716389837,2.207342631108052,-0.1530027461137522,0.0
11,1.0019287644205868,0.8353952725191374,2.2056775093078613,-0.15293486203645934,0.0
12,1.0092965694698128,0.8172387561282596,2.216341808035567,-0.16082190254677994,0.0
13,0.9807691827819154,0.9122045112622751,2.1871949055710354,-0.2608259020599763,0.0
14,1.0256291660102639,0.7472207159609408,2.196168938198605,-0.06980620374953425,0.0
15,1.0325157690692592,0.7074241895933409,2.1636063504863428,-0.02437828359118587,0.0
16,1.037544133695396,0.7109237474364203,2.175138048223547,-0.023152735726152722,0.0
17,1.037303486385861,0.6964802460090534,2.147663213111259,-0.0045643249476278154,0.0
18,1.0320688228349428,0.6999875524559537,2.1562624879785486,-0.011027867364621646,0.0
19,1.031052901938155,0.7145334015021453,2.189058034806638,-0.03758141204614092,0.0
20,1.032561360178767,0.7049564115099005,2.1596008764730916,-0.017455995605150994,0.0
21,1.0335838955801886,0.695179367387617,2.156543577039564,-0.002890763892414602,0.0
22,1.0296404683912121,0.7032974918146391,2.1756192639067367,-0.01826626289560384,0.0
23,1.0281692904395026,0.7089439131118156,2.1929763040027104,-0.025526197067134687,0.0
24,1.035127944237477,0.7262460444424603,2.2048056802234135,-0.05473617520309179,0.0
25,1.0307785546457446,0.7036877121474292,2.1320707411379427,-0.01463916028749097,0.0
26,1.0377558324788068,0.6918527185916901,2.152203643644178,0.0036702730592239547,0.0
27,1.0369717349877228,0.690417057759053,2.137330799489408,0.006110666804267345,0.0
28,1.0375304737606563,0.6903597245345244,2.135681395595138,0.006662946125190403,0.0
29,1.0323621389028188,0.695064902305603,2.138483595203709,-0.0027088322676718235,0.0
30,1.0330325719472524,0.6993804952582797,2.139145007004609,-0.009260940799690984,0.0
31,1.0284040006431374,0.7096994454796249,2.142768073726345,-0.026891010574291687,0.0
32,1.0074730064417865,0.7469634719797082,2.16773849403536,-0.08231677969514921,0.0
33,0.9012009896136619,0.9510645761683181,2.2218354473242887,-0.40203756295345927,0.0
34,1.1598323277525,0.6528233458866944,2.084606679710182,0.08636532441989796,0.0
35,1.0648906263145241,0.6651613019608162,1.929801657393172,0.05886655723726427,0.0
36,1.0692235456930625,0.6668512772869419,1.8726257891268343,0.057364831099639066,0.0
37,1.0629168636090047,0.677981795491399,1.8843264708647858,0.03545211287013985,0.0
38,1.055538833141327,0.6867528879964674,1.9877714917466447,0.016101121323535573,0.0
39,1.0424219547091305,0.7048653098377021,2.0288499980359465,-0.019664936837413022,0.0
40,1.0298904148308006,0.7201784728346644,2.069717895340275,-0.05112690718945216,0.0
41,1.0237983287991703,0.7294011800675779,2.0890692391911068,-0.06725603032454446,0.0
42,1.0287568279214807,0.7237488418012052,2.0927018217138342,-0.05630723814907912,0.0
43,1.020687394850963,0.7325273446134619,2.1128966260600732,-0.07303711268547419,0.0
44,1.0221019032839183,0.7280471759873468,2.1047777839609094,-0.06605398876441491,0.0
45,1.023216571356799,0.7282959536926167,2.1101124995463603,-0.06797112162048752,0.0
46,1.0293386159716427,0.7224446349852794,2.108498855217083,-0.05622080663168753,0.0
47,1.0141380638689608,0.7381151866268467,2.122455949718888,-0.0873742635185654,0.0
48,1.0129934420456757,0.7389852203227378,2.1249087146810584,-0.08924637452976124,0.0
49,1.0137213243020546,0.7378451510055645,2.1302420416393795,-0.08762096231048172,0.0
50,1.0133104904277905,0.7369591972312411,2.1263962146398185,-0.08598576365290461,0.0
