epoch,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,574.892541091213,528.6600350485154,92.46501097220967,417.46083165074253,362.45633753260097,110.00898696089888
2,393.6374996090275,341.0540798635245,105.1668405770407,397.08282583731193,335.44627397172565,123.2731051134753
3,357.71460623418733,304.4992837600436,106.43064540985216,340.3609578206136,290.5014648742981,99.71898573225324
4,335.2890701565454,283.5676713719487,103.44279740628822,320.0069242826811,270.63316417002943,98.74752098900659
5,315.50977181539844,264.951669984865,101.11620450274376,302.07918682232037,253.64919405489474,96.85999033854411
6,304.12838940603456,254.74801098154958,98.76075619734904,290.86918061249725,242.02764275505976,97.68307395072074
7,295.7996032823447,247.1067214368501,97.38576442406271,306.4409469894699,256.369299597449,100.14329396687948
8,288.32352683722337,240.63710516118493,95.37284232034378,278.7210734293864,231.24033565731258,94.96146712813888
9,280.9547036058962,233.92277733202081,94.0638527921086,270.9118257661959,223.54923969990497,94.72517338505497
10,273.5923157824316,226.83654958921818,93.51153396117729,271.86813522506884,223.61949139385968,96.49728502764239
11,267.2149498556008,220.31860367853022,93.79269368453382,262.3808747407075,215.73292565942407,93.29589259517086
12,263.4686493245732,216.62710305210535,93.6830931694058,257.0026312475806,211.3423508499955,91.32056182616942
13,260.0009936132465,213.24567160826984,93.51064417285852,257.8017784324852,210.6945419693375,94.21447091775613
14,256.5556221415564,210.0803424115707,92.95056000298877,249.53986345659624,204.03453593974834,91.01065508715503
15,252.6928159231817,206.06701692737295,93.25159763865624,252.4444175315452,203.64571312645654,97.5974066641715
16,249.59006133707393,202.70893566633882,93.76225063554757,246.9048851097191,198.74372326122509,96.32231978682785
17,246.68932052014986,199.75132355062138,93.87599404766043,243.6309034864943,195.88452762454838,95.49275207519531
18,243.5603333605566,196.30317144970877,94.51432403890263,242.3686656016368,195.68149507845249,93.37433971752515
19,240.15217894421778,192.78206121370036,94.74023508092263,239.7461600699821,191.38170667310376,96.72890782475591
20,238.1761909566316,190.48256561170695,95.38725104281062,236.39197003399883,188.26503221361008,96.25387648085096
21,237.44603248677643,189.7818031718298,95.32845860274237,234.26554361979166,186.5407305193377,95.44962674313717
22,234.02525427332978,186.2645101309671,95.52148760595355,241.34088996222786,193.767378263884,95.14701831806171
23,232.61080395029958,184.78383747793177,95.6539324017182,233.76593796555343,186.3641687494379,94.80354024984457
24,230.00322063622525,182.06470063233292,95.87703930186207,231.0317447421787,184.29063887495894,93.48221515582966
25,228.78027403481914,180.67388280685262,96.21278183146303,230.22220468759775,180.72842726454482,98.98755788564443
26,228.34005900209908,180.04855466143516,96.58300903428916,230.58410849203696,180.65086280738745,99.86649240029824
27,225.60382834872317,177.31869436243676,96.57026821693067,230.66037776973752,180.92958592748022,99.46158031658368
28,225.69887567160393,177.23106623205,96.93561879765521,228.79651002626161,180.24275430520854,97.10751407688205
29,222.87505875448315,174.39253805031555,96.96504205995608,224.91370933311242,176.39767191813397,97.0320723861068
30,223.09915758451956,174.44724900866743,97.30381631002732,227.43039765229096,177.72423821526604,99.41231950028642
31,221.55647848000305,172.64954536410838,97.8138656616211,224.21567652246975,176.550358784688,95.3306366974885
32,220.32487102250613,171.48167891858736,97.68638361051838,225.64236874814267,176.88748995272127,97.50976052346292
33,218.42726509935915,169.45570281222197,97.9431246285761,223.79993748020482,174.8293076707078,97.94126016122324
34,217.4866914036435,168.42820956953057,98.11696358677331,223.7959125201862,175.0621530038339,97.46751840646799
