epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.04000000000000001,2003.6184725524074,1985.4279782394478,454.7621820738952,999.1382635013641,981.2922355530754,446.1504028514075
2,0.08000000000000002,896.0665087117329,866.6224221622242,368.05109125888185,810.8580121527777,779.4859222315229,392.1512030126178
3,0.12,730.5871775355274,690.7003295346083,332.3904087532699,693.6901095920139,654.8061193266369,324.0332425750248
4,0.16000000000000003,673.8483864624576,625.6026340674491,301.5359607541184,660.2392583937872,612.0117810639881,301.4217469811818
5,0.2,638.7363587806667,583.1802136175233,277.7807184970217,630.634634874132,574.805753968254,279.1444120279948
6,0.24,618.6822371677036,556.5185974949625,259.01516765059387,623.5551074993799,560.1284632316468,264.2776634192088
7,0.27999999999999997,599.3832521740668,531.9577638099636,240.80531801249646,596.1990150669643,529.6228492373511,237.77201720222595
8,0.32000000000000006,581.6308590988228,509.8503482870387,224.31410079196567,607.0170332263765,533.8964591083829,228.50180208720857
9,0.36000000000000004,572.9653927902291,497.256966569305,210.30117169548484,590.4992750573537,518.4734734235491,200.0716572595021
10,0.4,565.5114196501166,486.5916723190929,197.29936756807214,586.7225208488343,508.98187275235614,194.35162830171132
11,0.44000000000000006,553.4573744001432,472.0384590528669,185.04299139652855,572.4649002511161,494.03520841083827,178.2492967878069
12,0.48,546.7051463407629,462.5907418781816,175.23834118044755,568.0496482049851,485.78086638919893,171.39329239133804
13,0.52,536.9644691156586,450.8499679910651,165.6048151767092,559.8570843021454,477.4193511284722,158.53410411047557
14,0.5599999999999999,530.5908769288214,442.3203394272748,157.62595716105326,566.5004480949281,479.16718323722716,155.95225704132565
15,0.6000000000000001,523.9196126946497,433.7495369889617,150.28345541285174,553.5843526398189,465.6809203326513,146.50572109646268
16,0.6400000000000001,516.9877926925728,424.8272879069747,144.00079000481654,552.7805307152157,462.96944820343504,140.3298111204117
17,0.68,513.0328892496376,418.9731597209948,138.32312826441424,544.5468532986112,453.2689925517733,134.23214111328124
18,0.7200000000000001,506.1768787781038,410.2331409022819,133.2551886096799,542.9323701016865,449.9491958085317,129.1433003937252
19,0.76,500.92894734516403,402.893081181729,128.9945605178764,544.536226671007,445.5539156668527,130.23988538953992
20,0.8,495.44812798823705,395.484685285059,124.95430192904234,554.7951077318949,455.0078045944941,124.73412823389447
21,0.8,485.9012893055359,386.9649092039911,123.67047315916864,548.2718988327753,446.7312808469742,126.92577068994916
22,0.8,480.2100174157328,382.11815964366514,122.61481955687924,531.141480654762,433.24370549277654,122.37222086588541
23,0.8,471.90036148830774,374.44919375596544,121.81395676556755,528.6810976640005,430.97188871837795,122.13651007758247
24,0.8,463.6320193191459,366.67013204583213,121.20235591560467,516.3051116458953,421.7258804951017,118.22403857518756
25,0.8,459.02291041585653,362.5110550962422,120.6398162151354,509.5187550378224,414.6894621349516,118.53661707318018
26,0.8,450.9588552621695,354.96421530883237,119.99329673111168,512.4318634130084,417.5485086301773,118.60419366745722
27,0.8,444.4358356182392,348.6778342130497,119.69749889114863,511.16907842726937,415.23660450768847,119.91558788481213
28,0.8,436.11847310476173,340.77692244171556,119.17693553251378,497.8522083875868,404.54964438786584,116.62821001325335
29,0.8,430.8476943624505,335.72924141862273,118.89806241687067,504.0251315646701,407.9045489211309,120.15072706434462
30,0.8,424.5310837413391,329.68410592057586,118.5587196177487,494.02908017113094,398.65940712580607,119.21208777533637
31,0.8,418.091039597179,323.2892844083622,118.50219174208145,482.25767527746774,386.7158334108383,119.4273032100617
32,0.8,415.62167800281924,320.94456585500035,118.34638711230248,477.4278894624256,382.257155219184,118.96341685946025
33,0.8,410.2637257295496,315.69491162882673,118.2110132761131,483.46175482855904,389.1913367861793,117.83801865835038
34,0.8,405.8721062155331,311.4073349620422,118.08096168483544,473.50943293495783,379.5370236157614,117.46550854879712
35,0.8,399.8683304592495,305.6239879487327,117.80542592872861,470.3002157738095,375.80441698831225,118.11974885970827
36,0.8,398.3977545138398,304.344641430885,117.56638812587272,472.9898742482019,379.60950937422496,116.7254529389881
37,0.8,393.26537036464225,299.3523230229028,117.39130591483138,471.0269399104043,377.3598836844308,117.08381669786242
38,0.8,390.6251480309672,296.63905603745405,117.48261129802168,466.1147163318452,371.74796388656375,117.95843869648283
39,0.8,389.14839358782876,295.14146692612593,117.50865421899303,469.34794650607637,376.6609739660838,115.85871243915861
40,0.8,381.8361950352181,288.04314909369697,117.24130380207598,459.00783195374504,364.72449877542164,117.85415860130674
