epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.034999999999999996,958.4742045811245,948.5633156912668,283.16827050447466,393.5516806784812,383.3801440600757,290.615347861289
2,0.06999999999999999,342.9124967302595,326.01287253243584,241.42321570260185,298.59744287133816,281.66376783277417,241.90964437032247
3,0.105,285.68820909772603,262.83537194388254,217.64607522147043,267.32909930193864,244.21362998129965,220.14734768032193
4,0.13999999999999999,262.7020851135254,234.34286291939873,202.5658768790109,252.66886212995223,223.8195756486467,206.06635011781802
5,0.175,251.65146113804408,218.36288877214704,190.22041364397322,244.17664366942626,210.37760984861814,193.13734367301873
6,0.21,247.89557658604213,210.0966319492885,179.99497800554548,246.74503406604848,208.28733749313278,183.1318834092882
7,0.24499999999999997,244.30538613455636,202.25993009294783,171.61410151890345,247.23919941975666,203.4442374350669,178.7549417551096
8,0.27999999999999997,243.03504551478795,197.26059603009904,163.4801759992327,243.53824959908638,196.66869125900803,167.39127923394585
9,0.315,242.92547280447823,193.51047199794223,156.87301995413645,242.5822182656289,193.20017119475432,156.768402496735
10,0.35,243.5973032270159,190.8322729928153,150.7572280883789,245.42302046309004,193.69684196831108,147.7890861137016
