epoch,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,2431.163781738281,2268.2960396902904,325.73549446378433,1543.4127951193382,1478.1453003296265,130.5349599935629
2,1423.4215183803014,1349.722861153739,147.3973109109061,1302.818711411607,1223.9281927190864,157.78104155486054
3,1245.7990068708148,1161.2982360839844,169.00154353550502,1172.7092468445007,1086.7296621572746,171.95915058735494
4,1115.8587572370257,1023.6411847795758,184.4351437159947,1137.678267867477,1033.2671786777012,208.8222229187195
5,1004.700556727818,905.7660570417132,197.8690042768206,969.2439313703352,870.0777548178061,198.3323659810934
6,943.4046138218471,842.2461883544922,202.3168502807617,919.437444341314,814.6017924662945,209.67130451374226
7,907.0375880650112,803.4467694963728,207.18164029802594,902.1608557409949,797.4622415384134,209.3972276414598
8,871.106733921596,768.0844927106585,206.04448449271067,848.3507624445734,744.7877775236174,207.1259784259357
9,840.6612352643695,737.0039895193918,207.31449148995534,828.0399340380419,722.4579268599655,211.16400300752412
10,822.7895599365235,719.6954153878348,206.18828768048968,820.141563560631,716.8589814790377,206.5651645908604
11,799.2114610944476,696.4604814801897,205.50195824759348,801.1335000772257,698.350287115729,205.56643221590733
12,779.4003265380859,676.572906930106,205.65483801705497,790.1979255867195,685.2045988248991,209.98665960271796
13,762.835113961356,659.8951991489955,205.87983278547014,796.0455342427389,690.847388159644,210.396297817593
14,750.6386417933873,648.0353511265346,205.2065801348005,764.3359882709858,660.3264479689651,208.01908532372704
15,739.4419625418527,637.314135306222,204.25565774100167,754.4395402482561,651.7303131989411,205.4184638740303
16,722.7325199672154,620.5868177141462,204.2914066859654,726.4085628597347,625.3828884426418,202.05136077850312
17,713.2762660435268,611.4807525634766,203.59102238246373,724.5960304787209,626.6958233868635,195.80042255390157
18,698.8563559395926,597.177399117606,203.35791070120675,706.5665072421053,603.3333577718344,206.46630208699912
19,689.4024693080357,587.9385216849191,202.9278940473284,701.575050392189,597.0695615659605,209.0109702139884
20,678.3346282958985,577.2458502633231,202.17755889892578,686.0209739158104,584.1447384273922,203.75247526884795
21,671.5836879185268,570.1090704781668,202.949233681815,700.4232835130052,598.1142868332199,204.61797652755294
22,662.0997711181641,560.2145684378488,203.77040481567383,663.1163141901667,562.2014293346081,201.82977991419153
23,648.437952532087,546.8720284598214,203.13184531075615,669.4043654249953,566.365027258704,206.07867845567736
24,638.8803763253349,537.5683037894113,202.62414430890763,656.0242081681291,554.4651150173611,203.1182079754315
25,634.3618290492467,533.0602257864816,202.60320140293666,651.0412451636206,552.0648190304562,197.95284661492548
26,626.2320107596261,525.050410243443,202.36320299421038,637.3696374597254,534.9832790554226,204.7727279433975
27,621.3657169886998,520.0704620361328,202.59050957815987,635.3783732462932,534.1335468158588,202.48964172607666
28,616.2428118024553,514.8763272966657,202.7329686846052,634.5978383168325,534.8156998551285,199.5642634516841
29,604.2817836216518,503.27593710763114,202.01169073922293,632.1762935420772,534.5233768925175,195.3058354680364
30,601.1813886369978,500.26348593575614,201.83580529349192,617.9547799752878,517.542980113903,200.8236041827961
31,595.1476379394531,494.180517578125,201.9342384338379,637.8573745865006,533.7141754791901,208.2864107088045
32,592.7049852643694,491.97844761439734,201.45307453700474,610.0202256089096,506.93396387109766,206.17252934086432
33,586.1029667445591,485.36661747523715,201.4727037702288,610.6227316183371,509.18258095742226,202.88029469288625
34,584.6243591308594,483.881761605399,201.4851940699986,609.6713383916143,507.80855321263647,203.72555781794978
35,573.3888264247349,472.75531071254187,201.2670271737235,604.5179925408808,501.7818703713479,205.47224259782243
36,572.0014870779855,471.5740740094866,200.85482199532646,597.7150952221753,496.42339660216857,202.5833977898797
37,567.6808846609933,466.9896985735212,201.38237598964147,609.9216947660551,507.9349255872083,203.9735520432542
38,563.0149717058454,462.3769888741629,201.2759692600795,595.4741768746285,495.21166289580594,200.52503203582
39,558.8620374407087,458.24983694893973,201.2244010925293,594.1558324682104,493.74157158867854,200.82851529813504
40,557.7345716203962,457.20292401994976,201.06329214913504,601.5636678548666,500.7384362206445,201.65045659367863
41,554.7184718540736,454.1877657209124,201.06141204833983,591.6224263203634,489.9064365268589,203.43198056454892
42,550.5120418003627,450.11340789794923,200.79726638793946,591.5287648488332,492.4821108339785,198.09330118692912
43,542.7957724434989,442.405349949428,200.7808455330985,583.0486640204658,483.9772452811698,198.1428325908917
44,540.3805969238281,440.2124391828265,200.33631482805524,586.9472465629692,487.4690020220416,198.95647832891484
45,538.4883516584124,438.19967367989676,200.57735802786692,582.622094262231,481.94924648769864,201.34569652660474
46,536.6106584821429,436.2075583321708,200.80620531354631,583.0967517199817,481.1062709132472,203.98097453532634
47,533.5266013009208,433.1139672415597,200.82526670183455,588.7555672127205,487.52507762889843,202.4609905162731
48,529.2505554199219,428.97577296665736,200.5495607648577,572.7618470521303,475.1036699235857,195.3163548069554
49,526.3378744942802,425.8825230189732,200.91070011683874,579.533704236463,478.616863750958,201.8336723869866
50,523.1438273838588,422.6384552001953,201.01074164254325,578.5956827799479,477.83469275549965,201.52200508308601
