epoch,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,2033.3153423703013,1922.4683737975422,221.69393042058707,1418.134195841349,1343.3004006203469,149.66760782388835
2,1291.1633824250027,1206.6538496458659,169.0190679475506,1144.6687632456676,1046.6057967146835,196.1259287241343
3,1085.123887031528,987.6351207583824,194.9775314059546,1011.2274937901769,911.9860048036318,198.48298415908585
4,1001.3468234785087,900.1887500260648,202.31615162913909,959.7315113575489,858.2220827394777,203.01885604476547
5,937.2098942549627,834.150674514499,206.11844480249806,899.7481230620268,798.1951417359743,203.10595368623018
6,898.1030351632006,794.8851598556356,206.4357526242945,870.5173780958693,771.4574646668152,198.11981680777458
7,868.052955708894,764.7460153382868,206.6138793836709,843.9815869336134,742.6624083189635,202.63836086452665
8,842.8945414587272,739.5586069996247,206.6718696241277,807.1274873506319,706.1974431707098,201.86009775339303
9,815.7843328184081,713.255093068839,205.05847911902595,788.3010252684325,685.9084929045256,204.78505722824875
10,791.3742879955794,689.4212157768711,203.90614639227925,807.8986699712408,701.8522849631859,212.09277549949852
11,776.954703442991,675.2710660343917,203.3672762833456,786.5711841602345,682.3568132341326,208.42873859882832
12,760.0305438601674,659.0640423866354,201.93300305566754,750.4515283105371,650.5766898490288,199.74966595623945
13,743.7135989369023,642.7239052986336,201.97939129486628,727.5779056644535,628.9939621017502,197.1678928226322
14,730.1343978936138,629.2702369554187,201.72832448287366,723.5986939698488,624.8895000347027,197.4183919942892
15,714.4569393714552,613.8312225884814,201.25143253421444,719.8262843532009,609.3729306699278,220.90671724886508
16,696.3147958775857,595.8211253970543,200.98734617402968,695.3048443951765,592.9558797689291,204.69793826419192
17,685.6242121903498,585.2487208682023,200.75097715981914,686.5431693900932,583.8499311689619,205.3864727001171
18,674.0168520021269,573.8033530890306,200.42699815200316,673.548579646541,574.9090722802881,197.27900810356255
19,666.3314517418261,566.4469576255283,199.76898823259563,668.3762860761152,566.6568978035652,203.4387828380138
20,654.1205420443172,554.6662722550253,198.90853985009244,659.6981107694609,557.738154230891,203.91991074020797
21,649.2948519343583,550.0131455825317,198.5634129208602,656.4999718957239,556.7195885460656,199.56077022762508
22,639.7900694714747,540.9480598422556,197.68401567452318,647.9948838609117,546.5530491428929,202.88367795896482
23,631.167054308691,532.5378574357762,197.258395754994,650.5993085370527,548.8298567121809,203.5388928357068
24,624.2632148715525,525.7579534673182,197.01052172243382,640.8985486951796,544.634247589875,192.528604379526
25,616.0589530103148,517.7093379879337,196.69922852431327,636.7019387551614,535.9734013798956,201.45706650253769
26,610.217844355573,512.2249213928005,195.98584451369967,625.4473606296726,524.0630997819109,202.7685291339924
27,603.9617490938125,506.20105002189445,195.5213997728884,621.1027330431017,523.3967591248474,195.41194951665534
28,600.9177056037659,503.3109654328153,195.2134800160907,626.5703696860924,531.4552286661661,190.2302856292572
29,596.3837058722337,498.815526127391,195.1363593810818,616.1437274677021,520.9733498757547,190.34075344265165
30,589.2891587226841,491.9053930099324,194.76753131689975,612.6840319323229,513.182776893104,199.0024996004305
31,581.738863690468,484.61495895657254,194.24780979360125,610.941292061104,514.7140582965778,192.45446937721414
