epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.04000000000000001,2253.548627068015,2230.6603324510393,572.2071609216578,1149.9611585441469,1135.3184883432539,366.06680096338664
2,0.08000000000000002,996.9999779058257,972.8600646144125,301.7489362345562,870.4442670355903,848.4450031777034,274.9908406187996
3,0.12,841.4571732050692,810.9372097377864,254.33302894005408,794.4387989443825,764.1925081767733,252.05244386703248
4,0.16000000000000003,722.4014610877404,685.5550056561086,230.290353559261,708.1245330326141,671.2587730189732,230.4110113234747
5,0.2,672.4876852596508,629.9867150492258,212.50485643757955,656.2399929858011,615.7596157304067,202.40188937717014
6,0.24,637.2517598009757,589.2472354664523,200.0188579990853,621.5107833813864,574.0763025096106,197.6436711968316
7,0.27999999999999997,612.2988248108738,559.2482223855964,189.466438051802,614.5988087875124,563.4211949714781,182.77718062143478
8,0.32000000000000006,588.6860282518205,531.1778938673201,179.7129214877996,604.4013762943329,546.6809498620412,180.3763479468936
9,0.36000000000000004,576.5893814294047,514.9883287524746,171.11402761882246,585.7145725213913,525.5680217246404,167.07372717478918
10,0.4,558.2127293375282,493.0734787332526,162.84812561311333,580.469831969246,514.8307259114583,164.09776107545883
11,0.44000000000000006,553.765530271228,485.1998598953178,155.83107229379507,567.1716320994543,499.63041046626984,153.50278390066964
12,0.48,541.4632992291342,470.0380213120404,148.80266581401565,559.3109042116196,488.57500825427826,147.36645660884795
13,0.52,531.5760680323813,457.2359585999364,142.9617551915786,552.6799727570065,476.8974600074405,145.73560277545263
14,0.5599999999999999,526.6634834945471,449.3968258680801,137.9761735389675,549.0271683175223,473.41592087518603,135.02008930509052
15,0.6000000000000001,522.9868456810308,443.1176919376149,133.11525270626015,553.575958968874,475.67500081380206,129.83492204938617
16,0.6400000000000001,514.6073212084187,432.116716341735,128.8915713556212,542.9932447451637,458.5627324761285,131.9226859343998
17,0.68,506.69909750821904,421.50782078531535,125.28128928620352,549.7786001441592,465.1707066127232,124.42336202954489
18,0.7200000000000001,507.3139243837935,419.27048226611106,122.28255276226889,543.491080109127,454.20516500806053,124.00820289248512
19,0.76,501.82149564302887,411.12527811041787,119.33712868668914,540.72982921782,449.09701071118553,120.5695017835829
20,0.8,498.4964882690982,405.1399958683894,116.6956139128672,531.9680988033234,438.76198618086556,116.50763762458922
21,0.8,488.41452205882354,395.5786831540759,116.04479700839357,534.9254155040923,444.4060896422371,113.14915274483818
22,0.8,481.93691353776336,389.28384496076075,115.81633323565867,526.6488745892237,431.1048168557788,119.43007606143043
23,0.8,473.7998763554776,381.41030704273896,115.48695877558505,518.1022259812128,424.68844641307044,116.76721856980097
24,0.8,470.3070095977093,378.071622546442,115.29423188084391,518.6696797882564,428.70490711030504,112.45597067212302
25,0.8,461.9398392206943,369.8509989604691,115.11104673497817,517.4587535264757,424.21087933252727,116.55983567979601
26,0.8,458.702426824095,366.80735136696654,114.8688411108509,509.9351818653894,418.1278858584449,114.75912324451265
27,0.8,450.41227798116694,358.55036311775314,114.8273906794069,507.4635405428447,414.15883293030754,116.63088425893632
28,0.8,444.68157972793233,352.88356729222636,114.74751326617073,507.38198412698415,415.6540971640935,114.65985840812561
29,0.8,440.38221650965073,348.59556296508237,114.73331365110647,492.6964270213294,400.8026660737537,114.86720020112537
30,0.8,432.11919157968924,340.28414088460653,114.79381043447088,494.0043917798239,402.17679482111856,114.78449625166635
31,0.8,428.20654296875,336.4803633884068,114.65772154104656,488.5237720501612,397.7441696312314,113.47450687953405
32,0.8,421.1697535450102,329.44421676704786,114.6569182797255,491.1816281079489,400.0081657288566,113.96682666596912
33,0.8,421.26418528837314,329.4839839331165,114.7252500024856,487.8358107793899,397.9747433423239,112.32633474198599
34,0.8,413.0016654864695,321.2440394060644,114.69703025300039,493.1155776444692,400.3619295053633,115.94205600799076
35,0.8,412.0975771252386,320.38595484392675,114.63952429585866,478.2310088045635,386.06765628875246,115.20419126480344
36,0.8,409.68611441909997,318.0487792416396,114.54666593387655,488.9366080341642,395.9317932128906,116.25601418631418
37,0.8,399.3531052257141,307.57456576662366,114.72317121686979,486.105237358941,394.1456140330481,114.94952760726686
38,0.8,399.76509446364184,308.06911347678346,114.6199722980482,466.3212546890501,373.48641874767486,116.04354506235273
39,0.8,396.3738270755267,304.7877640529995,114.48257546403289,472.29294759114583,380.8330145748078,114.32491291348896
40,0.8,388.77160299309776,297.2079819899339,114.454522767218,463.4262052796379,372.64894112723215,113.47157827710349
41,0.8,389.1685434747066,297.71282696616055,114.31964097519266,465.0622359793527,373.3420584736173,114.65022101992652
42,0.8,384.91097180120545,293.47652293761934,114.29305795522836,459.02736746651783,365.69087691049725,116.67060992044115
43,0.8,383.6099618765024,292.10863208339225,114.37665885821727,462.0203063771081,371.54362393818207,113.09584920731803
44,0.8,377.36302661464225,286.0751830226156,114.10980207348301,450.88196261935764,358.9744615342882,114.88437344505674
45,0.8,377.4424837552584,286.06503841348365,114.22180524454937,453.0945870341952,362.08436095222595,113.7627794344463
46,0.8,373.3279077866498,281.9993416626529,114.16070518666263,455.10353205605156,363.68526047479537,114.27283704969618
47,0.8,372.96030201631436,281.67773879383486,114.10319998900815,453.94725554935513,361.45054704938616,115.62087985568576
48,0.8,368.8430880033053,277.6095933871032,114.04186504243187,452.64868516710067,360.5002688840836,115.18551489451575
49,0.8,366.2570628170514,274.98168910790355,114.0942142193134,452.68121667286704,358.06293021065846,118.2728546530103
50,0.8,364.8996271331925,273.694826566256,114.00599722193377,451.2558627077133,359.5486920262897,114.63396092490544
