epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.04000000000000001,2125.738501915565,2104.2286421141475,537.7466878707593,1085.551495690724,1066.8713918340775,467.00285865420386
2,0.08000000000000002,969.5476383537189,944.356829474954,314.88512147929333,875.5367255704365,850.839123031374,308.7201021515377
3,0.12,811.3004415520716,780.1234197141897,259.8085261556358,730.0244421968006,699.6026986064608,253.5145626201327
4,0.16000000000000003,699.7236579446231,662.9348368234764,229.93014429705175,678.2963280474951,643.0940032862103,220.01455251542347
5,0.2,658.9064811602976,616.2593126944288,213.23584688626804,645.9698199947296,603.6093783327133,211.80223036024304
6,0.24,623.866603523358,575.8100138530473,200.23578992472514,626.617917984251,578.8428909737723,199.0626102217417
7,0.27999999999999997,602.8256233871252,549.6171647153828,190.03020908821762,589.8786307198661,537.6890230887277,186.39143669007316
8,0.32000000000000006,584.6378744133997,527.2408262226916,179.3657807915459,599.1018616303943,541.6318555850074,179.59377612885976
9,0.36000000000000004,570.0145744220164,508.62588597638575,170.52412497403935,573.5055880301339,512.7642659117683,168.72587563166542
10,0.4,555.7274350817926,490.8583332596861,162.17275462431067,573.9955745055183,510.17683461991567,159.5468452671596
11,0.44000000000000006,548.9249146060167,480.76041657460763,154.9193151827851,562.2484942336309,494.551444343688,153.85691982693143
12,0.48,538.18854505444,466.98166335438174,148.34767137070048,569.6129487149677,498.2509695870536,148.670796179393
13,0.52,534.580958992108,460.4139720519743,142.62882429442254,555.2515313430059,480.0308677067832,144.65512128557478
14,0.5599999999999999,525.3674994421222,448.1880303982696,137.82048062285688,553.6554778180804,480.4177959914434,130.78156977577814
15,0.6000000000000001,519.0670733559725,439.591915078832,132.4585885440602,543.4001328047495,465.0936380828373,130.51082974872892
16,0.6400000000000001,515.2690244648791,433.0837812466859,128.41444424590375,540.2185936337426,458.6189310128348,127.49947380913629
17,0.68,509.5722950378694,424.91357118080106,124.49812334155605,548.27297359406,464.59832178509424,123.05095734126984
18,0.7200000000000001,507.14102255704717,419.8864348398614,121.18692089098072,536.8938421921503,451.50836472284226,118.59094097803509
19,0.76,503.988717471852,414.2417374692891,118.08813200385322,536.8481087239584,446.17745477585567,119.30349247523716
20,0.8,497.5122440389918,405.2378557990579,115.3429830559778,538.749484437004,448.9299204799107,112.2744534640842
21,0.8,489.3331356825332,397.4276973672582,114.88179420022404,542.5078832620287,448.9986792379712,116.88650174095517
22,0.8,484.2149663726669,392.47686657107255,114.67262164499965,527.9667194087922,435.1590207829551,116.00962767585875
23,0.8,477.282820619609,385.7388755832862,114.42992749796734,516.3883914620536,425.7013478500124,113.35880017477369
24,0.8,472.3338908890254,380.9842915944924,114.18699614926162,517.1990374658978,425.96434401739214,114.04336617606027
25,0.8,464.101274032938,372.74141227066247,114.19982402680687,516.1001457868304,425.63978695824034,113.07544655451699
26,0.8,458.80522452652184,367.6691614211415,113.92007677587449,508.3967164248512,418.0375153847346,112.94899275522384
27,0.8,449.9271266471207,358.7067698483014,114.02544302961945,505.70579698350696,414.7190241737971,113.73346637544178
28,0.8,445.79159463045283,354.69733908812924,113.86781594116763,498.33561949714783,406.34252265082466,114.99136975000775
29,0.8,438.0545601823211,347.03927529451533,113.76910341702975,508.50876379588294,416.31148344494045,115.24660572354756
30,0.8,432.94674599764033,341.8331238069146,113.89202390644884,504.8333152359251,410.893672921317,117.42455146426246
31,0.8,429.92676126471474,338.8129978093626,113.89220148837404,498.0269685484871,408.0980900646391,112.41109221443297
32,0.8,425.3220289411588,334.1943439466381,113.9096019278824,492.4478881448413,402.7547400483631,112.11643133254279
33,0.8,417.8132760578691,326.82161136126626,113.73957824707031,493.00239331442214,401.4975853717138,114.38100639706566
34,0.8,415.95479642427887,324.7914877498851,113.95413304669825,485.7620065259177,395.2570660691034,113.13117810446118
35,0.8,410.2220345751732,319.16333049239074,113.8233771345734,483.7338927641369,391.74650204613096,114.98423586406405
36,0.8,411.0820656340586,319.80574373961576,114.09539843252881,483.3455220734127,393.2364260718936,112.63636354476687
37,0.8,403.869069095111,312.6807125315947,113.98544294262364,478.1251936461434,387.9706682865203,112.69315582275391
38,0.8,398.91798463018773,307.7311515980716,113.98353859741763,470.6421435546875,379.8937055509053,113.43554532005673
39,0.8,396.0168365892781,304.78771309831023,114.0364016709824,482.0617587425595,391.5876722741505,113.09260884118459
40,0.8,394.4876853977393,303.47604549632354,113.76454732213085,471.1535644143725,378.9675137765067,115.23256019713386
41,0.8,398.1442415401407,307.02168197977056,113.90319630894726,482.18373601035466,389.7771332852803,115.50825469970704
42,0.8,394.1088756716629,302.9540369370404,113.94354600172777,464.9424982173859,374.4743661063058,113.08516334654793
43,0.8,386.6229184526124,295.5729867236107,113.81241214113537,467.2246492125496,377.85189730205235,111.71593821692089
44,0.8,382.3707744891827,291.3293608928698,113.80176361222073,466.52104441809274,373.11854277111235,116.75312123616537
45,0.8,382.96329149617327,291.7563180362477,114.00871266498825,461.20900390625,369.4792827303447,114.66214788527716
46,0.8,378.9369439172529,287.91259841573725,113.78042719914363,460.89425362723216,370.674298405723,112.77494142562624
